alain,aime manger
toi la ,t'esvraimentlemeilleur
toi aussi ,t'esvraimentlemeilleur
lui la bas ,C'estvraimentlemeilleur
ta soeur?,C'estvraimentlameilleur
Ca va on rigole,mais pas elle
plus d'inspration ,C'estvraimentlemeilleur
THP,C'estvraimentlemeilleur
FELIX ???,C'estvraimentlemeilleur
La guerre en Irak ?,C'estvraimentlemeilleur
"[""gossip_author""]","[""gossip_content""]"
ahaha celui la c'est un louper ,C'estvraimentlemeilleur
je suis fatigué, mais c'est pas grave 
C'est l'heure,de la correction 

